Title,Company,Location,Salary,Type,Category
Data Science Co-Op- Fall 2022,Agama Solutions,"Remote in San Francisco Bay Area, CA
+3 locations",,,data science
Data Science Co-Op- Fall 2022,Johnson & Johnson,"Cincinnati, OH 45242
+38 locations",,Full-time,data science
Data Science Co-Op- Fall 2022,Sony Music Entertainment US,"New York, NY",Estimated $149K - $189K a year,,data science
Data Science Co-Op- Fall 2022,AstraZeneca,"Gaithersburg, MD 20878",,Full-time,data science
Data Science Co-Op- Fall 2022,Disney Streaming,"San Francisco, CA
+6 locations",,Full-time,data science
Data Science Co-Op- Fall 2022,University of Pennsylvania,"Philadelphia, PA 19104
(University City area)",,Full-time,data science
Data Science Co-Op- Fall 2022,The Ohio State University,"Columbus, OH 43201
(Weinland Park area)",,Full-time,data science
Data Science Co-Op- Fall 2022,American Institutes for Research,"Remote
+2 locations",Estimated $84.7K - $107K a year,Full-time,data science
Data Science Co-Op- Fall 2022,Hulu,"Santa Monica, CA",,Full-time,data science
Data Science Co-Op- Fall 2022,Pathrise,Remote,,Part-time,data science
Data Science Co-Op- Fall 2022,McAfee,"Remote in San Jose, CA 95002",,Full-time,data science
Data Science Co-Op- Fall 2022,University of Michigan,"Remote in Ann Arbor, MI 48109",,Full-time,data science
Data Science Co-Op- Fall 2022,Starbucks,"Remote in Seattle, WA
+2 locations",,Full-time,data science
Data Science Co-Op- Fall 2022,University of North Carolina at Chapel Hill,"Remote in Chapel Hill, NC 27599",,Full-time,data science
Data Science Co-Op- Fall 2022,Bayer,"Remote in United States
+11 locations",,,data science
Assistant/Associate Project Scientist - Social Science Data...,University of California Berkeley,"Berkeley, CA 94720
+1 location",,,data science
Assistant/Associate Project Scientist - Social Science Data...,General Motors,"Remote in United States
+6 locations",,,data science
Assistant/Associate Project Scientist - Social Science Data...,PNC Financial Services Group,"Remote in Pittsburgh, PA 15222
+5 locations",,,data science
Assistant/Associate Project Scientist - Social Science Data...,Certilytics,Remote in United States,Estimated $93.3K - $118K a year,Full-time,data science
Assistant/Associate Project Scientist - Social Science Data...,University of California Merced,"Merced, CA 95343",,,data science
Assistant/Associate Project Scientist - Social Science Data...,Zelus Analytics,"Remote in Austin, TX",,,data science
Assistant/Associate Project Scientist - Social Science Data...,T-Mobile,"Remote in Frisco, TX 75034
+1 location",,Full-time,data science
Assistant/Associate Project Scientist - Social Science Data...,Instec Corp,Remote,Estimated $90.9K - $115K a year,,data science
Assistant/Associate Project Scientist - Social Science Data...,SunPower,Remote,Estimated $73.4K - $93K a year,,data science
Assistant/Associate Project Scientist - Social Science Data...,Stitch Fix,"+7 locations
Remote",Estimated $105K - $133K a year,,data science
Assistant/Associate Project Scientist - Social Science Data...,Nike,"New York, NY
+2 locations",,Full-time,data science
Assistant/Associate Project Scientist - Social Science Data...,Capital One - US,"McLean, VA
+44 locations",,,data science
Assistant/Associate Project Scientist - Social Science Data...,IBM,"Yorktown Heights, NY",,Full-time,data science
Assistant/Associate Project Scientist - Social Science Data...,Novo Nordisk,"Seattle, WA 98109
(South Lake Union area)
+4 locations",,,data science
Assistant/Associate Project Scientist - Social Science Data...,Amazon.com Services LLC,"+11 locations
Remote",,Full-time,data science
Data Scientist,Intel,"Hybrid remote in Phoenix, AZ 85018
+4 locations",,Full-time,data science
Data Scientist,Paramount,"New York, NY 10036
+2 locations",,Full-time,data science
Data Scientist,Aroopa,"San Francisco, CA",Estimated $121K - $154K a year,Contract,data science
Data Scientist,US Bureau of Labor Statistics,"Remote in Albuquerque, NM",,Full-time,data science
Data Scientist,University of Pennsylvania,"Philadelphia, PA 19104
(University City area)",,Full-time,data science
Data Scientist,University of Miami,"Miami, FL",,Full-time,data science
Data Scientist,Peraton,"Springfield, VA 22150",,,data science
Data Scientist,Novo Nordisk,"Seattle, WA 98109
(South Lake Union area)
+4 locations",,,data science
Data Scientist,Zelus Analytics,"Remote in Austin, TX",,,data science
Data Scientist,McAfee,"Remote in San Jose, CA 95002",,Full-time,data science
Data Scientist,Dow Jones,"New York, NY 10176
(Murray Hill area)
+2 locations",,,data science
Data Scientist,Dassault Systèmes,"New York, NY
+3 locations",,,data science
Data Scientist,Stitch Fix,"+7 locations
Remote",Estimated $105K - $133K a year,,data science
Data Scientist,Amazon.com Services LLC,"+11 locations
Remote",,Full-time,data science
Data Scientist,Insurity,Remote,,,data science
"Research Scientist, The Device Science and Data Technology",Amazon.com Services LLC,"+11 locations
Remote",,Full-time,data science
"Research Scientist, The Device Science and Data Technology",The Ohio State University,"Columbus, OH 43201
(Weinland Park area)",,Full-time,data science
"Research Scientist, The Device Science and Data Technology",Insurity,Remote,,,data science
"Research Scientist, The Device Science and Data Technology",Equifax,"Atlanta, GA 30309
(Midtown area)
+2 locations",,Full-time,data science
"Research Scientist, The Device Science and Data Technology",Amex,"Sunrise, FL
+8 locations",,,data science
"Research Scientist, The Device Science and Data Technology",Pathrise,Remote,,Part-time,data science
"Research Scientist, The Device Science and Data Technology",The Coca-Cola Company,"Plano, TX 75024
+1 location",,Full-time,data science
"Research Scientist, The Device Science and Data Technology",University of California Merced,"Merced, CA 95343",,,data science
"Research Scientist, The Device Science and Data Technology",Zelus Analytics,"Remote in Austin, TX",,,data science
